epno,time,instance,bit,tagarray
035,53:33,favorite part of the show
036,21:04,devil went down to georgia
037,20:55,titular
052,8:22,ghost
052,27:55,math
052,49:22,wyr intro
052,1:08:10,Harris lab
053,41:01,money question
053,57:33,textbook
053,1:03:47,yes and
053,1:10:13,textbook
053,1:11:10,quiet wyr
053,1:12:42,favorite
054,14:52,verisimilitude
054,1:08:50,favorite
055,26:40,duccalist list
055,30:21,latest therapy duccalist
056,1:26,stfu
056,1:26,guest performs…
056,1:46,stfu
056,35:31,sftu
056,1:03:15,who? (icharus)
057,17:11,scott’s seafood diet
059,27:01,verisimilitude
059,54:20,wyr song
060,43:25,hyperion@rowena in silver lake
060,46:15,who eats at flavios?
060,49:15,most popular
060,51:37,most popular
061,1:06:42,popular
062,39:52,detail prompted
062,40:12,detail prompted
062,47:39,cross-polinate
062,49:51,emotional
062,1:04:39,verisimilitude?/detail?
062,1:13:17,dorf
064,3:08,math
064,38:04,titular
064,1:00:34,emotional
064,1:13:17,good one
065,15:42,ducca lists
065,37:44,ducca catchphrase
067,21:25,maron
067,26:45,maron!
067,27:08,my cakes
067,46:28,titular
067,46:28,cakeboss!
067,46:49,most popular
067,46:49,cakeboss!
067,47:21,cakeboss!
067,48:41,textbook wyr
067,48:41,i have a question
067,50:00,textbook wyr
067,55:39,textbook wyr
067,57:31,PFT or a PFT character got high before the show
067,1:04:54,popular
067,1:08:43,trod the boards
068,:48,Phil Collins
068,2:10,goddammit
068,31:17,it's been
068,54:10,blunder
068,1:08:59,popular
070,3:40,layout
071,1:30,obvious data
072,42:17,doobie
072,51:41,huell takes bad news pretty hard
072,1:04:23,popular
073,1:12:45,wyr guess
074,1:26:30,popular
075,1:02:00,fortunfort theme
076.1,18:38,math
076.1,35:00,scottrick
076.1,35:30,scottrick
076.1,35:32,Zachariah!
076.1,35:40,trod
076.1,39:15,queens english
076.1,39:42,queens english
076.1,40:06,queens english
076.1,40:00,trenching
076.1,43:48,what else?
076.1,48:06,queens english
076.1,49:43,queens english
076.2,20:50,juking box
076.2,27:53,popular
076.2,30:52,I have a question
076.2,41:59,I have a question
076.2,47:00,queens english
076.2,49:40,piven
076.2,49:50,queens english (peerljam)
077,3:50,odp
077,1:25:24,wyr guess
077,1:26:42,blunder
077,1:27:04,blunder
077,1:30:26,blunder
078,30:40,name again?
079,2:30,odp
081,31:55,who?
082,12:22,good one
082,30:43,good one
082,46:48,good one
082,47:55,good one
082,59:15,Doppler
082,1:09:00,good one
082,1:18:20,good one
082,1:18:30,good one
082,1:24:00,good one
082,1:33:00,good one
083,27:25,huh?
083,29:01,huh?
083,33:15,emotional
083,54:00,blunder
084,24:55,odp
085,3:35,popular
085,28:40,detail challenge
085,29:50,cakeboss
085,33:20,jj walker ref (that isn’t doobie bros)
085,49:45,cakeboss
085,53:20,cakeboss
085,57:50,huh?
085,1:20:39,cakeragous
085,1:45:20,cakeboss
086,9:30,my wife
086,33:40,Doppler
086,37:10,my wife
086,51:30,classic blunder
087,56:40,borat
087,58:11,stfu
087,1:17:48,most popular
088,25:28,obv data
088,1:09:15,wyr theme x3
088,1:15:52,how we play
088,1:26:30,wyr theme
089,1:00,guest performs...
089,1:55,guest perofrms...
089,2:50,odp
089,15:12,odp
089,52:14,emotional
089,1:17:55,Most popular
090,1:34,performs before
090,1:10:05,how we play
090,1:11:18,how we play
090,1:11:36,how we play
090,1:14:35,premature
091,24:41,it's been
091,1:36:50,highly irregular
093,49:50,piven
094,9:10,odp
094,11:00,what’s this now?
094,14:20,cross-pollen
094,25:40,yes and
094,37:50,Scott pimps a suicide
095,55:25,obv data
095,55:45,Batdance 
095,1:01:47,blunder
097,31:04,titular
097,48:02,ducca poem
098,2:00,hey bros
098,10:31,hey bros
098,1:00:48,verisimilitude
099.19:40,emotional
099.22:38,a dimello production doesn’t make it to the end
099.23:07,emotional
099.34:56,a dimello production doesn’t make it to the end
099.39:00,Dimello is a stickler about him being a director
099.41:33,emotional
099.55:18,Scott belabors the premise
099.59:20,odp
099.1:05:45,I could hear everything
100,12:12,batdance
101,36:19,yes and
101,58:14,how we play
102,:42,obvious data (biz)
102,1:06,titular
103,1:35,name change (non bit)
103,5:15,CBB tv show (non bit)
103,12:24,good one
103,20:21,CBB theme song 
103,31:22,puts himself in character
103,35:27,stfu
103,38:30,Scott prompts an Andy d suicide
103,1:05:52,that's also true
103,1:28:20,trees have dicks
103,1:37:30,Hollywood huell (decided against — hollywood?)
103,1:45:26,Hooterville (fictional)
103,1:52:40,james?
104,55:06,wyr theme
105,33:50,cross-pollen
105,1:31:15,most popular
106.1,20:58,cakeboss
106.1,32:15,I can hear u
106.1,33:51,koolaid man
106.1,34:35,watch yrself counselor 
106.1,34:54,cakeboss
106.1,37:45,cakeboss
106.1,42:47,cakeboss
106.1,44:40,cakeboss
106.1,45:55,who?
106.1,46:00,cakeboss
106.1,48:55,cakeboss
106.1,54:00,cakeboss
106.2,3:12,cakeboss*2
106.2,15:35,cinnamon
106.2,18:00,cakeboss*2
106.2,23:20,marrone!
106.2,28:10,breaks my cakes
106.2,31:39,cakeboss
106.2,31:55,cakeboss*2
106.2,32:35,cake rage
106.2,33:20,cake seats
106.2,33:35,cake blood
106.2,34:10,cake rooster
106.2,34:15,cake bullett 
106.2,35:28,who?
106.2,36:42,cakeboss
106.2,40:13,piven
106.2,42:23,I have a question
106.2,52:45,PFT got high
106.2,54:28,piven
107,32:18,Doppler
107,40:20,bill crystal
107,57:33,pardo
107,59:43,pardo
107,1:03:38,pardo
108,18:40,titular
110,5:00,yes and
110,33:30,Marilu henner
110,58:20,who?
110,1:08:50,Phil Collins
111,26:35,it's not a tumor
111,58:50,stfu
112,28:30,scottrick
112,29:00,weird allistar
112,29:12,queens English
112,52:00,piven
112,53:30,I have a question
112,1:07:29,shotting gun
112,1:12:00,odp
