150,13:15,Scott pimps bobby
150,14:95,scottrick
150,19:15,consummation
150,19:40,please call me
150,28:50,what's that?
150,38:30,shatner
150,38:45,my wife
150,40:10,downtown
150,41:13,scottrick
150,42:27,scottrick

150,42:40,trod the boards
150,43:20,scottrick
150,43:40,scottrick


186,31:55,discomfort clause
186,38:02,plz call me pony boy
186,43:03,59th@8th
186,43:05,MAD
186,47:00,watch yrself counsilor
186,51:39,who?
186,52:18,pft pimps himself
186,52:30,emotional
186,1:02:00,plz call me garry
186,1:03:57,pft pimps himself
186,1:04:37,wyr theme chatter
186,1:06:38,wyr theme chatter redux
186,1:07:58,pft has a question
186,1:07:58,plz call me garry
186,1:11:06,class wyr blunder
186,1:12:00,plz call me garry
186,1:12:00,or she
186,1:13:33,plz call me garry
186,1:16:12,plz call me garry
187,20:04,titular
187,25:28,verisimilitude
187,56:00,wyr theme
187,56:14,wyr pile
187,57:04,wyr pile
187,1:06:27,bard
188,1:50,batdance
188,15:42,my wife
188,16:27,my wife
188,17:52,my wife
188,18:04,my wife
188,47:50,wyr theme
188,49:43,blunder
188,49:43,woman
188,51:23,blunder
188,54:52,blunder
188,57:09,blunder
188,59:15,blunder
189,2:27,record broken
189,18:45,was that Werner?
189,23:00,dorf
189,33:15,science of memory
189,47:15-47:29,wyr theme
189,47:58-48:21,wyr guess
189,49:16,Werner has a question
189,53:49,blunder
189,56:48,blunder
189,58:28,who? (Herzog doesn't known stewart impressions)
189,59:15,my wife
189,1:02:49,favorite part
189,1:05:31-1:06:15,verisimilitude
190,32:05,you remind me of
190,32:46,wutz the premise of orson welles?
190,41:15,contextualize yourself, sir!
190,57:19,MASH
191,28:03,stfu
191,52:21,cross-pollenization
191,53:43,neil young mistakes himself for bjork
191,1:13:48,charac premise
191,1:28:30,U had me at come on guys
192,1:54,boo
192,39:40,sidebyside
192,40:45,my wife
192,46:40,el coyote
192,46:40,oj Simpsons
192,50:54,wyr pile
192,1:05:00,verisimilitude
192,1:05:00,close the floor
192,1:06:35,verisimilitude
193,2:20,bbbbbbonusssss
193,9:15,introduce U in a second
193,9:40,titular
193,36:45,character coincidence
193,37:04,character coincidence


199,3:22,plz call me garry
199,3:30,plz call me garry
199,3:40,plz call me garry
199,3:55,plz call me garry
199,18:53,3-nose-1 (Denzel and Paul Reiser use the CBB countdown when they perform
199,27:56,plz call me garry
199,28:03,plz call me garry
199,30:25,plz call me garry
199,32:04,plz call me garry
199,41:35,who? (garry marshall doesn't know PFT)
199,42:47,plz call me garry
199,45:40,who? (garry marshall doesn't know moon zappa)
199,47:22,someone gets emotional
199,48:52,plz call me garry
199,54:42,someone talks over the wyr theme
199,54:50,interep callback (bro gets added to the wyr theme)


200,2:30,oh boy
200,3:18,mywife
200,3:18,oh boy
200,3:25,my wife
200,5:40,oh boy
200,6:25,oh boy


203,34:20,pft character is high
203,35:19,scottrick
203,35:19,inappropriate question
203,37:00,topping hat
203,44:55,surnames
203,45:35,cross-pollen
203,48:55,cross-pollen


203,55:55,batting mobile
203,56:15,batting gentleman
203,56:55,watch yrself councilor
203,57:20,batting man movies
203,57:43,cakeboss
203,1:01:43,wyr theme
203,1:01:43,went back for it
203,1:04:00,wyr blunder
203,1:05:41,pft in w/ a question
203,1:10:03,watch yrself councilor
203,1:13:02,floor closes without warning
203,1:13:06,classic wyr blunder
203,1:20:25,scottrick
203,1:20:25,unorthodox
203,1:20:55,paul effing tompkins
204,19:09,my wife
204,46:43,scott pimps jdaly
204,1:06:43,scott pimps jdaly


206,54:00,Scott pumps Sarah
207,1:00,bbbbonusssss
207,5:39,trash can question
207,8:20,interview style
207,28:21,my wife
207,29:22,my wife
207,51:25,wyr pile
207,53:37,watch yrself councilor
207,1:04:29,floor closes
208,1:20,Hollywood nights
208,1:30,Hollywood nights


208,1:15:17,floor closes
208,1:16:45,classic blunder
208,1:19:50,cake boss
208,1:23:38,cake boss
